-10	20	2.14530612245
-10	25	1.98352941176
-10	30	2.0537704918
-10	35	1.98208955224
-10	40	2.02838709677
-10	45	2.228
-10	50	2.05206349206
-10	55	2.02666666667
-10	60	2.11450980392
-12.5	20	2.1888
-12.5	25	2.00727272727
-12.5	30	2.02424242424
-12.5	35	2.02412698413
-12.5	40	2.0
-12.5	45	2.025
-12.5	50	2.05935483871
-12.5	55	2.00484848485
-12.5	60	2.00119402985
-17.5	20	3.32108108108
-17.5	25	2.35574468085
-17.5	30	2.36
-17.5	35	2.2337254902
-17.5	40	2.1504
-17.5	45	2.24941176471
-17.5	50	1.93493333333
-17.5	55	2.0931147541
-17.5	60	2.344
-20	20	4.23058823529
-20	25	3.70666666667
-20	30	3.14256410256
-20	35	2.56363636364
-20	40	2.53793103448
-20	45	2.21333333333
-20	50	2.17411764706
-20	55	2.2208
-20	60	2.05968253968
-22.5	20	4.695
-22.5	25	4.29090909091
-22.5	30	3.81714285714
-22.5	35	3.57621621622
-22.5	40	3.26243902439
-22.5	45	3.10736842105
-22.5	50	2.77818181818
-22.5	55	2.47024390244
-22.5	60	2.31069767442
-25	20	5.17517241379
-25	25	4.56727272727
-25	30	4.26057142857
-25	35	3.97837837838
-25	40	3.80717948718
-25	45	3.572
-25	50	3.38
-25	55	3.13756097561
-25	60	3.09581395349
-27.5	20	5.44551724138
-27.5	25	4.72533333333
-27.5	30	4.57212121212
-27.5	35	4.28705882353
-27.5	40	4.08
-27.5	45	3.86222222222
-27.5	50	3.84842105263
-27.5	55	3.74486486486
-27.5	60	3.53371428571
-30	20	5.59428571429
-30	25	5.00266666667
-30	30	4.815
-30	35	4.58
-30	40	4.41411764706
-30	45	4.27294117647
-30	50	4.03789473684
-30	55	3.96444444444
-30	60	3.8
-32.5	20	5.83384615385
-32.5	25	5.35724137931
-32.5	30	4.98064516129
-32.5	35	4.725
-32.5	40	4.48
-32.5	45	4.32888888889
-32.5	50	4.19027027027
-32.5	55	4.11243243243
-32.5	60	3.96307692308
-10	65	2.02158730159
-10	70	2.04903225806
-10	75	1.97257142857
-10	80	2.13333333333
-10	85	1.99880597015
-10	90	1.97411764706
-12.5	65	1.95945205479
-12.5	70	2.11137254902
-12.5	75	1.99384615385
-12.5	80	2.19047619048
-12.5	85	1.89948717949
-12.5	90	2.1408
-17.5	65	2.0673015873
-17.5	70	2.13818181818
-17.5	75	2.36
-17.5	80	2.04444444444
-17.5	85	2.19294117647
-17.5	90	1.98686567164
-20	65	2.09627118644
-20	70	2.36
-20	75	2.09481481481
-20	80	2.18980392157
-20	85	2.17333333333
-20	90	1.99436619718
-22.5	65	2.316
-22.5	70	2.09523809524
-22.5	75	2.13037037037
-22.5	80	2.32
-22.5	85	2.08813559322
-22.5	90	2.0464516129
-25	65	2.7493877551
-25	70	2.63652173913
-25	75	2.45446808511
-25	80	2.42612244898
-25	85	2.17263157895
-25	90	2.27666666667
-27.5	65	3.40093023256
-27.5	70	3.20744186047
-27.5	75	3.2223255814
-27.5	80	2.97739130435
-27.5	85	3.10476190476
-27.5	90	3.06604651163
-30	65	3.76615384615
-30	70	3.83529411765
-30	75	3.43414634146
-30	80	3.42476190476
-30	85	3.33333333333
-30	90	3.45435897436
-32.5	65	3.86461538462
-32.5	70	3.87891891892
-32.5	75	3.79487179487
-32.5	80	3.68
-32.5	85	3.62285714286
-32.5	90	3.58974358974
